S.No.,Country,2021-2022,%Share,2022-2023,%Share,%Growth
226,US MINOR OUTLYING ISLANDS,246.12,0.0001,91.74,0,-62.72
227,UZBEKISTAN,202305.81,0.0643,227923.62,0.0629,12.66
228,VANUATU REP,2351.73,0.0007,2716.58,0.0008,15.51
229,VATICAN CITY,25.11,0,128,0,409.7
230,VENEZUELA,248399.9,0.0789,142370.25,0.0393,-42.69
231,VIETNAM SOC REP,4993740.82,1.5868,4754342.55,1.3128,-4.79
232,VIRGIN IS US,3195.12,0.001,6146.76,0.0017,92.38
233,WALLIS F IS,3.55,0,0.89,0,-75.02
234,YEMEN REPUBLC,632919.06,0.2011,799647.98,0.2208,26.34
235,ZAMBIA,253956.9,0.0807,224632.7,0.062,-11.55
236,ZIMBABWE,149392.43,0.0475,125862.03,0.0348,-15.75

